url,type
internationalhousedavis.com/,0
www.ttt.org/salt/,3
www.geosynthetica.net/tech_docs/EMStressStrain.pdf,3
facebook.com/john.felton,0
filmsvideos.org/,0
http://221.210.211.29:60293/Mozi.m,2
lawrence.edu/athletics/mbasketball/basketballpreview.shtml,0
http://s-tab.ru/portfolio/5-2010-07-05-05-15-05/detail/1355-gr26.html?tmpl=component&detail=0&buttons=1,1
imobiliariabarao.com.br/site/wp-content/plugins/index.php,0
songlyrics.com/andrew-gold-lyrics/,0
amazon.com/Films-Hopalong-Cassidy-Francis-Nevins/dp/0936505095,0
ballymena.com.au/,0
hayk.net/destinations/montreal-qc/schools/,0
www.madlogic.com/supersecret.html,3
firstdaymedia.in,3
imdb.com/title/tt0103569/,0
www.gm26.com/images/,0
music.yahoo.com/andre-verchuren/,0
mercer.dcoweb.org/,0
prnewswire.com/news-releases/cn-canadian-womens-open-raises-21-m-for-montreal-childrens-hospital-charities---a-program-record-128558433.html,0
http://elcomercio.pe/politica/congreso/nadine-heredia-citada-comision-belaunde-lossio-este-viernes-noticia-1810942?flsm=1,0
main.stylelist.com/2009/12/16/kellan-lutz-new-calvin-klein-underwear-model/,0
linkedin.com/pub/clara-saafir/14/318/134,0
http://www.chleb.info.pl/galeria-chlebow/galeria-zdjec-waszych-chlebow,1
geology.com/cities-map/ohio.shtml,0
http://www.sonomaster.com.br/novo/index.php/sono-master/novidades/40-dicas-de-bem-estar,1
www.freewebs.com/cartref589/,3
london-prive.co.uk/media/paypal.com/webscr/m/e/q/p/z/x/j/index.html,0
deepali.ca/,0
http://116.114.95.40:52908/Mozi.m,2
http://paypalp.ontraport.com/c/s/IE8/Lsa/v/E/WO/6hbqiR/63WkY1sE0Z/P/P/5,3
aboutus.org/MosFilm.com,0
zimbio.com/photos/Ryan+Reaves/Marco+Scandella,0
linkedin.com/pub/gordon-macinnes/7/90a/a01,0
yellowpages.ca/bus/Quebec/Montreal/Esthetique-Julie-St-Louis/2256945.html,0
zoominfo.com/people/Gauthier_Joe_144261859.aspx,0
http://landcareus.com/caem/tyf.php?l=ykol1.cab,2
script-ed.org/wp-admin/nab-update.htm,0
linux.omnipotent.net/article.php?article_id=12340,3
miguelcervantes.g12.br/siginnowosogiisiinnowonebysiginon/index.html.htm,0
www.elizabethvuong.com/wp/wp-content/mara/home.html,0
http://www.khack.be/index.php?option=com_content&view=article&id=40:cdmagnificat&catid=2:laatste-nieuws&Itemid=7,1
collegeapps.about.com/od/choosingacollege/a/phi-beta-kappa.htm,0
http://silca02.it/confezioni-scatole/cioccolatini/scatole-cubo-in-acetato-satinato,1
https://dengemuhasebe.com/Apple/home/Signin.php,3
edeal.com.my,2
sg-sst.org,3
milebymile.com/main/United_States/Minnesota/United_States_2_1/United_States_Minnesota_road_map_travel_guides.html,0
filmstoday.net/?p=43,0
goodreads.com/author/show/95588.Walter_J_Ong,0
youtube.com/watch?v=_-vCzmUlmn8,0
www.people.fas.harvard.edu/~agoldham/,3
en.wikipedia.org/wiki/Bob_McClure,0
123people.co.uk/s/ben+wright,0
amazon.com/Air-Medal-Cal-Page/dp/096649170X,0
imdb.com/name/nm2942548/bio,0
http://9779.info/%E6%8A%98%E7%BA%B8%E8%8A%B1%E6%8B%BC%E8%B4%B4%E7%94%BB/,2
http://kerryshacklett.com/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=15&Itemid=56,1
http://nesn.com/2013/04/bruins-celtics-express-pride-in-representing-people-of-boston-after-tragedy-video/,0
